product_id,product_name,brand,category,serving_basis_g,nutrient,amount_mg,label_complete,monthly_price_krw,source
food_a,밸런스 성견 사료,밸런스펫,주식,100,칼슘,1050,true,42000,verified_demo
food_a,밸런스 성견 사료,밸런스펫,주식,100,인,820,true,42000,verified_demo
food_a,밸런스 성견 사료,밸런스펫,주식,100,비타민D,0.018,true,42000,verified_demo
food_a,밸런스 성견 사료,밸런스펫,주식,100,아연,16,true,42000,verified_demo
food_a,밸런스 성견 사료,밸런스펫,주식,100,철,9,true,42000,verified_demo
supp_cal,튼튼 칼슘 영양제,튼튼,영양제,2,칼슘,420,true,18000,verified_demo
supp_cal,튼튼 칼슘 영양제,튼튼,영양제,2,인,160,true,18000,verified_demo
supp_cal,튼튼 칼슘 영양제,튼튼,영양제,2,비타민D,0.008,true,18000,verified_demo
snack_a,치즈 트릿,요미,간식,10,칼슘,95,false,9000,verified_demo
snack_a,치즈 트릿,요미,간식,10,인,55,false,9000,verified_demo
multi_a,데일리 멀티 영양제,데일리,영양제,3,칼슘,120,true,22000,verified_demo
multi_a,데일리 멀티 영양제,데일리,영양제,3,비타민D,0.012,true,22000,verified_demo
multi_a,데일리 멀티 영양제,데일리,영양제,3,아연,4.5,true,22000,verified_demo
multi_a,데일리 멀티 영양제,데일리,영양제,3,철,2.2,true,22000,verified_demo
food_lamb,저알러지 램 사료,네이처핏,주식,100,칼슘,1200,true,55000,demo_synthetic
food_lamb,저알러지 램 사료,네이처핏,주식,100,인,950,true,55000,demo_synthetic
food_lamb,저알러지 램 사료,네이처핏,주식,100,비타민D,0.02,true,55000,demo_synthetic
food_lamb,저알러지 램 사료,네이처핏,주식,100,아연,18,true,55000,demo_synthetic
food_lamb,저알러지 램 사료,네이처핏,주식,100,철,11,true,55000,demo_synthetic
food_lamb,저알러지 램 사료,네이처핏,주식,100,구리,1.6,true,55000,demo_synthetic
food_lamb,저알러지 램 사료,네이처핏,주식,100,조단백,27000,true,55000,demo_synthetic
food_lamb,저알러지 램 사료,네이처핏,주식,100,조지방,15000,true,55000,demo_synthetic
food_senior,시니어 케어 사료,밸런스펫,주식,100,칼슘,900,true,48000,demo_synthetic
food_senior,시니어 케어 사료,밸런스펫,주식,100,인,700,true,48000,demo_synthetic
food_senior,시니어 케어 사료,밸런스펫,주식,100,비타민D,0.016,true,48000,demo_synthetic
food_senior,시니어 케어 사료,밸런스펫,주식,100,아연,15,true,48000,demo_synthetic
food_senior,시니어 케어 사료,밸런스펫,주식,100,철,8.5,true,48000,demo_synthetic
food_senior,시니어 케어 사료,밸런스펫,주식,100,오메가3,900,true,48000,demo_synthetic
food_grainfree,그레인프리 연어 사료,노스씨,주식,100,칼슘,1350,true,62000,demo_synthetic
food_grainfree,그레인프리 연어 사료,노스씨,주식,100,인,1000,true,62000,demo_synthetic
food_grainfree,그레인프리 연어 사료,노스씨,주식,100,비타민D,0.022,true,62000,demo_synthetic
food_grainfree,그레인프리 연어 사료,노스씨,주식,100,아연,20,true,62000,demo_synthetic
food_grainfree,그레인프리 연어 사료,노스씨,주식,100,철,12,true,62000,demo_synthetic
food_grainfree,그레인프리 연어 사료,노스씨,주식,100,셀레늄,0.35,true,62000,demo_synthetic
food_grainfree,그레인프리 연어 사료,노스씨,주식,100,오메가3,1400,true,62000,demo_synthetic
food_wet,습식 치킨 스튜,키친펫,주식,150,칼슘,480,false,60000,demo_synthetic
food_wet,습식 치킨 스튜,키친펫,주식,150,인,360,false,60000,demo_synthetic
